item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
59161562,TORSBY / BERNHARD,Chairs,3875.0,No old price,True,https://www.ikea.com/sa/en/p/torsby-bernhard-table-and-4-chairs-high-gloss-white-kavat-white-s59161562/,No,"        Table and 4 chairs,          135 cm",Carl Öjerstam/Ola Wihlborg/IKEA of Sweden,,,
29214213,LINNMON / GODVIN,Tables & desks,185.0,No old price,True,https://www.ikea.com/sa/en/p/linnmon-godvin-table-white-white-stained-oak-effect-white-s29214213/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,74.0,60.0
69221344,EKEDALEN / ODGER,Tables & desks,1975.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-4-chairs-white-blue-s69221344/,No,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,
89140002,NORSBORG,Sofas & armchairs,900.0,"SR 1,125",True,https://www.ikea.com/sa/en/p/norsborg-cover-for-4-seat-sofa-with-chaise-longue-finnsta-finnsta-dark-grey-s89140002/,Yes,        Cover for 4-seat sofa,Ehlén Johansson,,,
99335985,FREKVENS,Outdoor furniture,619.0,SR 855,True,https://www.ikea.com/sa/en/p/frekvens-bar-table-and-2-bar-stools-s99335985/,No,        Bar table and 2 bar stools,Nicholai Wiig Hansen,,,
69297292,YPPERLIG / NILSOVE,Chairs,2575.0,No old price,True,https://www.ikea.com/sa/en/p/ypperlig-nilsove-table-and-4-chairs-ash-rattan-white-s69297292/,No,"        Table and 4 chairs,          200x90 cm",HAY/A Fredriksson/J Hultqvist/W Chong,,,90.0
59305042,LISABO / ODGER,Tables & desks,1875.0,No old price,True,https://www.ikea.com/sa/en/p/lisabo-odger-table-and-4-chairs-ash-veneer-anthracite-s59305042/,No,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/J Löfgren/J Pettersson,,74.0,78.0
89386070,SLÄKT,Beds,1260.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-3-storage-boxes-white-s89386070/,No,"        Bed frame with 3 storage boxes,          90x200 cm",Ebba Strandmark/IKEA of Sweden,53.0,35.0,96.0
39297255,NORRÅKER / RÖNNINGE,Tables & desks,1085.0,No old price,True,https://www.ikea.com/sa/en/p/norraker-roenninge-table-and-2-chairs-birch-green-s39297255/,No,"        Table and 2 chairs,          74x74 cm",J Karlsson/N Karlsson/Maja Ganszyniec,,,74.0
70410744,HUSARÖ,Outdoor furniture,245.0,No old price,True,https://www.ikea.com/sa/en/p/husaroe-side-table-outdoor-dark-grey-70410744/,No,"        Side table, outdoor,          49x49 cm",Ola Wihlborg,,73.0,49.0
59048397,ÄPPLARÖ,Outdoor furniture,1845.0,No old price,True,https://www.ikea.com/sa/en/p/aepplaroe-table-4-reclining-chairs-outdoor-brown-stained-s59048397/,Yes,"        Table+4 reclining chairs, outdoor",K Hagberg/M Hagberg,,,
